#  x座標 　y座標  波動関数密度 という順で出力してます
     0.03226     0.03226     0.00000
     0.03226     0.06452     0.00000
     0.03226     0.09677     0.00000
     0.03226     0.12903     0.00000
     0.03226     0.16129     0.00000
     0.03226     0.19355     0.00000
     0.03226     0.22581     0.00000
     0.03226     0.25806     0.00007
     0.03226     0.29032     0.00023
     0.03226     0.32258     0.00099
     0.03226     0.35484     0.02231
     0.03226     0.38710     0.04684
     0.03226     0.41935     0.06901
     0.03226     0.45161     0.08640
     0.03226     0.48387     0.09610
     0.03226     0.51613     0.09610
     0.03226     0.54839     0.08640
     0.03226     0.58065     0.06901
     0.03226     0.61290     0.04684
     0.03226     0.64516     0.02231
     0.03226     0.67742     0.00099
     0.03226     0.70968     0.00023
     0.03226     0.74194     0.00007
     0.03226     0.77419     0.00000
     0.03226     0.80645     0.00000
     0.03226     0.83871     0.00000
     0.03226     0.87097     0.00000
     0.03226     0.90323     0.00000
     0.03226     0.93548     0.00000
     0.03226     0.96774     0.00000
 
     0.06452     0.03226     0.00000
     0.06452     0.06452     0.00000
     0.06452     0.09677     0.00000
     0.06452     0.12903     0.00000
     0.06452     0.16129     0.00000
     0.06452     0.19355     0.00000
     0.06452     0.22581     0.00018
     0.06452     0.25806     0.00770
     0.06452     0.29032     0.02477
     0.06452     0.32258     0.05837
     0.06452     0.35484     0.12746
     0.06452     0.38710     0.21394
     0.06452     0.41935     0.30187
     0.06452     0.45161     0.37439
     0.06452     0.48387     0.41559
     0.06452     0.51613     0.41559
     0.06452     0.54839     0.37439
     0.06452     0.58065     0.30187
     0.06452     0.61290     0.21394
     0.06452     0.64516     0.12746
     0.06452     0.67742     0.05837
     0.06452     0.70968     0.02477
     0.06452     0.74194     0.00770
     0.06452     0.77419     0.00018
     0.06452     0.80645     0.00000
     0.06452     0.83871     0.00000
     0.06452     0.87097     0.00000
     0.06452     0.90323     0.00000
     0.06452     0.93548     0.00000
     0.06452     0.96774     0.00000
 
     0.09677     0.03226     0.00000
     0.09677     0.06452     0.00000
     0.09677     0.09677     0.00000
     0.09677     0.12903     0.00000
     0.09677     0.16129     0.00000
     0.09677     0.19355     0.00011
     0.09677     0.22581     0.00672
     0.09677     0.25806     0.03139
     0.09677     0.29032     0.08517
     0.09677     0.32258     0.18296
     0.09677     0.35484     0.33797
     0.09677     0.38710     0.53576
     0.09677     0.41935     0.74399
     0.09677     0.45161     0.91952
     0.09677     0.48387     1.02035
     0.09677     0.51613     1.02035
     0.09677     0.54839     0.91952
     0.09677     0.58065     0.74399
     0.09677     0.61290     0.53576
     0.09677     0.64516     0.33797
     0.09677     0.67742     0.18296
     0.09677     0.70968     0.08517
     0.09677     0.74194     0.03139
     0.09677     0.77419     0.00672
     0.09677     0.80645     0.00011
     0.09677     0.83871     0.00000
     0.09677     0.87097     0.00000
     0.09677     0.90323     0.00000
     0.09677     0.93548     0.00000
     0.09677     0.96774     0.00000
 
     0.12903     0.03226     0.00000
     0.12903     0.06452     0.00000
     0.12903     0.09677     0.00000
     0.12903     0.12903     0.00000
     0.12903     0.16129     0.00001
     0.12903     0.19355     0.00228
     0.12903     0.22581     0.01716
     0.12903     0.25806     0.06370
     0.12903     0.29032     0.16754
     0.12903     0.32258     0.35608
     0.12903     0.35484     0.64490
