#  x座標 　y座標  波動関数密度 という順で出力してます
     0.03226     0.03226     0.00000
     0.03226     0.06452     0.00000
     0.03226     0.09677     0.00000
     0.03226     0.12903     0.00000
     0.03226     0.16129     0.00000
     0.03226     0.19355     0.00000
     0.03226     0.22581     0.00000
     0.03226     0.25806     0.00006
     0.03226     0.29032     0.00016
     0.03226     0.32258     0.00053
     0.03226     0.35484     0.01002
     0.03226     0.38710     0.01912
     0.03226     0.41935     0.02615
     0.03226     0.45161     0.03114
     0.03226     0.48387     0.03374
     0.03226     0.51613     0.03369
     0.03226     0.54839     0.03098
     0.03226     0.58065     0.02594
     0.03226     0.61290     0.01891
     0.03226     0.64516     0.00988
     0.03226     0.67742     0.00052
     0.03226     0.70968     0.00016
     0.03226     0.74194     0.00005
     0.03226     0.77419     0.00000
     0.03226     0.80645     0.00000
     0.03226     0.83871     0.00000
     0.03226     0.87097     0.00000
     0.03226     0.90323     0.00000
     0.03226     0.93548     0.00000
     0.03226     0.96774     0.00000
 
     0.06452     0.03226     0.00000
     0.06452     0.06452     0.00000
     0.06452     0.09677     0.00000
     0.06452     0.12903     0.00000
     0.06452     0.16129     0.00000
     0.06452     0.19355     0.00001
     0.06452     0.22581     0.00022
     0.06452     0.25806     0.00690
     0.06452     0.29032     0.01781
     0.06452     0.32258     0.03420
     0.06452     0.35484     0.06309
     0.06452     0.38710     0.09401
     0.06452     0.41935     0.12186
     0.06452     0.45161     0.14296
     0.06452     0.48387     0.15426
     0.06452     0.51613     0.15399
     0.06452     0.54839     0.14223
     0.06452     0.58065     0.12084
     0.06452     0.61290     0.09291
     0.06452     0.64516     0.06215
     0.06452     0.67742     0.03358
     0.06452     0.70968     0.01742
     0.06452     0.74194     0.00673
     0.06452     0.77419     0.00021
     0.06452     0.80645     0.00001
     0.06452     0.83871     0.00000
     0.06452     0.87097     0.00000
     0.06452     0.90323     0.00000
     0.06452     0.93548     0.00000
     0.06452     0.96774     0.00000
 
     0.09677     0.03226     0.00000
     0.09677     0.06452     0.00000
     0.09677     0.09677     0.00000
     0.09677     0.12903     0.00000
     0.09677     0.16129     0.00001
     0.09677     0.19355     0.00028
     0.09677     0.22581     0.01072
     0.09677     0.25806     0.03510
     0.09677     0.29032     0.07198
     0.09677     0.32258     0.12302
     0.09677     0.35484     0.18963
     0.09677     0.38710     0.26273
     0.09677     0.41935     0.33141
     0.09677     0.45161     0.38478
     0.09677     0.48387     0.41370
     0.09677     0.51613     0.41295
     0.09677     0.54839     0.38270
     0.09677     0.58065     0.32844
     0.09677     0.61290     0.25944
     0.09677     0.64516     0.18659
     0.09677     0.67742     0.12062
     0.09677     0.70968     0.07033
     0.09677     0.74194     0.03418
     0.09677     0.77419     0.01041
     0.09677     0.80645     0.00027
     0.09677     0.83871     0.00001
     0.09677     0.87097     0.00000
     0.09677     0.90323     0.00000
     0.09677     0.93548     0.00000
     0.09677     0.96774     0.00000
 
     0.12903     0.03226     0.00000
     0.12903     0.06452     0.00000
     0.12903     0.09677     0.00000
     0.12903     0.12903     0.00001
     0.12903     0.16129     0.00028
     0.12903     0.19355     0.01181
     0.12903     0.22581     0.04310
     0.12903     0.25806     0.09813
     0.12903     0.29032     0.18013
     0.12903     0.32258     0.29093
     0.12903     0.35484     0.42737
